DATE,TEXT
2018-07-18 17:31:21,"RT @DilmaResiste: #LulaLivre #Resistencia103Dias
Em nota, o PSDB-MG afirma não ter cometido qualquer ilegalidade, e diz também ter interrom…"
2018-07-18 17:31:14,Vídeo lindo. #LulaLivre https://t.co/7f6rIx0suJ
2018-07-18 17:31:07,"RT @DilmaResiste: #LulaLivre #Resistencia103Dias
Em nota, o PSDB-MG afirma não ter cometido qualquer ilegalidade, e diz também ter interrom…"
2018-07-18 17:28:03,"RT @DilmaResiste: #LulaLivre #Resistencia102Dias
Associação Juízes para a Democracia divulga nota de apoio ao desembargador Rogério Favreto…"
2018-07-18 17:26:53,RT @turquim5: 👉Ato #LulaLivre em SP defende democracia e marca centenário de Nelson Mandela!!! https://t.co/L1SCtzWFrV @brasil247
2018-07-18 17:25:49,"RT @depjorgesolla: A justiça (e seus juízes) existe para nos livrar da tirania de homens comuns, mas quem pode nos salvar de magistrados ti…"
2018-07-18 17:25:26,"RT @DilmaResiste: Jornal Belga Le Soir classifica Moro como juiz parcial
#LulaLivre #Resistencia103Dias
""Reportagem no principal jornal bel…"
2018-07-18 17:25:19,"RT @berocorreia: Da série: Ligue os pontos...👇

O amigo de #LulaLivre x O amigo de Bolsonaro https://t.co/FQzCoBAaaE"
2018-07-18 17:25:15,"RT @JFMargarida: MANDELA VIVE, LULA LIVRE!

18 de julho de 2018, 100 anos do nascimento de Nelson Mandela. A prisão política de Lula comple…"
2018-07-18 17:25:03,"RT @jaqueswagner: Eles lutaram pelos que mais precisam e por isso foram perseguidos, atacados e condenados sem provas. Mas #MandelaVive e @…"
2018-07-18 17:24:46,"Adorei a ""compensação""!!👏👏👏👍😂😂✊✊ #LulaLivre  #LulaPresidente https://t.co/4KNOz29w7b"
2018-07-18 17:24:19,"@enfanaleao @PauloBa88656680 #FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA… https://t.co/pohaHSskSv"
2018-07-18 17:24:00,"#FimDoExameFraudulentoDoCartelOAB
ISONOMIA: EXAME DURANTE A GRADUAÇÃO, IGUAL MEDICINA E APLICADO PELO MEC.

CANDIDA… https://t.co/nIuHT9PIbw"
2018-07-18 17:23:44,A tal ponte para o futuro de Temer está fazendo todos os indicadores regredirem 20 anos em 2. Todos os indicadores… https://t.co/YSGg295PIL
2018-07-18 17:22:54,RT @DilmaResiste: Magistrados defenderam nesta segunda (16) a possibilidade do registro da candidatura do ex-presidente e avaliaram os mean…
2018-07-18 17:22:16,RT @JFMargarida: Vanderlei Luxemburgo afirma que o juiz Sérgio Moro jogou a Constituição no lixo. #LulaLivre #OBrasilFelizDeNovo #100DiasDe…
