source,target,rating
7188,1,10
430,1,10
3134,1,10
3026,1,10
3010,1,10
804,1,10
160,1,10
95,1,9
1,160,10
1368,2,10
164,2,10
244,2,10
62,2,10
2244,2,10
148,2,10
7403,2,10
52,2,10
264,2,10
159,2,10
66,2,10
20,2,10
60,2,10
585,2,10
97,2,10
2006,2,10
1421,2,10
353,2,10
42,2,10
37,2,10
51,2,9
185,2,9
38,2,9
7603,2,9
312,2,9
168,2,9
354,2,8
108,2,8
9,2,8
22,2,8
91,2,8
40,2,8
250,2,8
271,2,8
119,2,8
10,2,8
113,2,8
54,2,8
2,37,10
2,38,9
2,168,9
2,4,9
2,20,8
2,767,8
2,23,8
2,40,8
2,91,8
2,113,8
2,54,8
971,3,10
92,3,10
7336,3,10
5,3,8
1545,3,8
103,3,8
3,5,8
3,92,8
3,6,8
97,4,10
215,4,10
479,4,10
302,4,10
39,4,10
381,4,10
148,4,10
7603,4,9
40,4,9
312,4,9
31,4,8
131,4,8
603,5,10
191,5,10
11,5,10
68,5,10
67,5,10
248,5,10
372,5,10
42,5,9
13,5,8
19,5,8
53,5,8
5,67,8
5,19,8
5,8,8
3305,6,10
524,6,10
36,6,10
112,6,9
56,6,9
31,6,8
100,6,8
227,6,8
177,6,8
6,138,10
6,56,9
6,31,8
174,7,10
30,7,10
36,7,10
7517,7,10
7536,7,10
142,7,10
1151,7,10
429,7,9
95,7,8
266,7,8
7,34,8
7,36,8
7,370,8
7604,8,10
36,8,10
265,8,10
500,8,9
7390,8,8
177,8,8
176,9,10
107,9,10
14,9,10
11,9,10
97,9,10
159,9,9
20,9,9
7603,9,9
40,9,8
22,9,8
9,20,10
9,159,9
9,977,8
9,145,8
9,14,8
9,176,8
37,10,8
10,7552,10
10,970,8
10,271,8
10,37,8
34,11,10
7536,11,10
21,11,10
7562,11,8
122,11,8
11,93,10
11,34,10
11,13,10
11,31,10
11,21,10
11,47,10
11,122,10
651,12,10
815,12,10
976,12,9
1368,13,10
68,13,10
3060,13,10
7337,13,10
651,13,9
1050,13,8
21,13,8
13,127,8
13,46,8
13,21,8
796,14,10
1024,14,10
7603,14,10
63,14,8
159,14,8
20,14,8
22,14,8
14,63,9
14,20,8
14,518,8
104,15,10
427,15,10
2336,15,8
15,352,10
15,94,10
2445,16,10
109,16,8
37,16,8
16,109,8
159,17,9
243,18,10
57,18,9
872,18,9
1170,18,8
594,18,8
860,18,8
18,243,10
18,74,10
18,294,10
18,57,9
18,160,9
18,91,8
18,860,8
34,19,10
292,19,8
49,19,8
19,34,10
19,49,8
7517,20,10
159,20,10
870,20,10
7603,20,9
22,20,9
37,20,8
47,20,8
20,22,9
20,31,8
20,37,8
20,47,8
20,188,8
20,65,8
25,21,10
181,21,10
21,25,10
21,41,10
47,22,8
22,47,8
22,23,8
1082,23,8
23,129,10
24,1691,10
265,25,10
284,25,8
25,265,8
25,284,8
177,26,9
32,26,8
26,279,10
26,88,10
26,29,9
26,93,8
56,27,10
754,27,10
27,56,10
27,754,8
314,28,10
1458,28,10
254,28,10
327,28,10
89,28,10
1249,28,10
195,28,10
726,28,10
130,28,10
28,314,10
28,195,10
244,30,10
30,188,10
30,95,10
30,345,10
30,308,8
92,31,10
429,31,9
43,32,10
124,32,9
32,43,10
253,33,10
2414,34,10
59,34,10
104,35,10
2807,35,10
118,36,10
2379,36,8
36,118,10
314,37,9
80,38,10
285,38,10
38,285,10
38,80,8
680,39,10
2111,39,10
2070,39,10
274,39,8
39,108,10
39,680,10
271,40,8
7562,41,10
42,270,10
42,932,8
608,44,10
45,44,10
44,74,10
132,45,10
183,45,10
2541,45,10
45,132,10
45,183,10
435,46,10
61,46,10
68,46,10
3015,46,9
3035,46,8
46,127,10
46,68,10
7603,47,9
159,47,8
47,66,8
47,159,8
48,7372,10
120,49,10
49,120,8
1241,50,10
798,52,9
257,52,8
52,257,8
7602,53,10
7601,53,10
7599,53,10
7598,53,10
7604,53,10
188,54,8
234,54,8
84,54,8
91,54,8
54,188,8
54,469,8
54,234,8
54,200,8
54,7552,8
54,91,8
2995,55,10
143,55,8
185,55,8
283,55,8
55,283,10
55,185,8
753,56,9
3107,56,8
147,56,8
56,753,8
630,57,8
57,294,10
57,160,9
57,630,8
430,59,10
7420,59,10
269,60,10
267,60,9
440,60,8
68,61,10
3093,61,10
2268,61,10
3035,61,8
61,68,10
7517,62,10
7536,62,10
102,62,8
899,63,8
63,899,8
100,66,10
67,746,10
814,68,10
1807,68,10
7336,68,10
68,814,10
2171,69,10
296,71,10
243,71,10
745,71,10
968,71,8
220,71,8
349,71,8
71,243,8
71,968,8
71,349,8
262,72,10
72,262,8
124,73,9
7604,74,10
2685,76,10
2696,76,10
2626,76,10
2046,76,10
2037,76,10
76,240,10
244,80,10
1047,80,8
301,80,8
80,301,8
971,81,10
7503,82,9
158,82,8
82,158,8
450,84,10
84,450,10
84,263,10
104,86,10
86,94,10
461,88,10
88,461,10
254,89,10
194,91,8
234,91,8
91,194,8
91,200,8
91,234,8
91,469,8
93,764,10
7335,94,10
233,94,10
114,94,10
104,94,10
95,188,9
525,96,10
475,97,10
97,177,10
97,475,10
97,273,10
7604,99,10
827,100,10
100,827,10
7604,101,10
1247,102,10
1990,102,10
103,177,8
6958,104,10
104,498,8
107,513,10
390,110,8
3269,111,10
463,111,10
427,112,10
524,112,10
112,427,10
112,524,10
113,134,9
113,358,8
113,188,8
118,765,10
662,119,8
235,119,8
271,119,8
119,471,9
119,662,8
119,235,8
119,271,8
7595,123,10
177,124,9
124,177,10
124,228,9
158,128,10
131,791,10
231,132,10
132,231,9
1850,134,10
870,137,10
2526,137,10
2509,139,10
2510,139,10
7481,141,10
2905,143,10
688,143,8
191,145,10
227,145,10
941,145,10
318,145,10
7335,145,9
7604,147,10
421,147,10
690,147,8
147,421,10
147,690,8
147,223,8
147,963,8
1072,149,8
581,150,10
150,581,10
213,151,10
808,151,10
261,151,10
218,151,8
151,213,10
151,261,10
151,808,10
151,218,10
156,7603,10
7604,157,10
158,248,10
7603,159,9
159,272,10
160,294,10
163,165,10
164,837,10
164,835,10
7604,166,10
166,177,8
286,170,10
633,170,8
3248,171,8
172,555,8
3337,173,10
748,177,10
642,177,10
750,177,10
265,177,10
177,816,10
3017,179,10
400,180,8
374,180,8
404,181,10
181,510,10
7562,185,10
1691,185,10
288,185,10
364,186,8
374,186,8
7604,187,10
7335,188,10
334,188,10
573,188,8
188,200,8
188,573,8
7604,190,10
190,903,9
190,889,9
722,193,10
193,722,10
736,194,8
194,736,8
254,195,10
195,254,10
7335,200,10
234,200,8
506,201,10
201,506,10
428,204,10
798,204,10
204,428,10
204,798,10
823,206,10
206,823,10
253,210,10
1712,212,10
261,213,10
218,213,10
213,261,10
213,218,10
322,215,10
215,322,10
218,261,10
249,220,9
556,221,10
276,221,10
221,276,10
221,556,10
354,224,10
224,354,8
228,816,10
247,229,10
400,230,8
274,232,8
232,274,8
234,469,8
714,238,10
238,714,10
1103,239,10
239,1103,10
7564,240,10
240,7564,10
699,243,8
418,246,10
307,246,10
246,653,10
246,418,10
246,307,10
1067,247,10
543,253,10
253,543,10
1458,254,10
7388,257,10
301,264,8
264,805,10
264,301,8
304,267,8
556,276,10
282,724,10
806,285,10
285,806,10
753,286,10
1915,297,10
344,300,10
334,302,10
387,303,10
303,387,10
418,307,10
307,418,10
323,313,9
313,323,9
1303,316,10
1153,317,8
388,325,10
828,325,10
325,388,10
325,828,10
325,414,10
344,327,10
7523,338,10
7522,338,10
7532,338,10
7510,338,10
1680,342,10
855,343,9
1251,343,8
343,855,9
788,344,10
344,788,10
344,480,10
345,463,10
7564,354,10
356,624,10
356,405,10
782,357,10
357,782,10
377,363,10
399,363,10
363,377,10
363,399,10
374,364,8
364,374,8
368,367,10
367,368,10
374,400,8
374,378,8
399,377,10
377,399,10
679,384,10
384,679,10
828,388,10
6014,407,10
409,797,10
828,414,10
545,415,10
829,415,8
415,829,10
417,901,9
468,425,10
7570,425,8
425,468,10
515,426,10
426,515,10
831,430,10
430,831,10
431,861,9
2421,434,8
501,436,9
446,445,10
445,446,10
950,453,10
453,950,8
3035,456,8
525,458,10
7419,461,8
985,464,8
464,985,8
652,465,8
465,652,8
1227,470,8
867,477,8
477,867,8
628,481,10
1565,488,8
525,493,10
7558,496,10
1907,499,10
501,794,10
2037,511,10
1291,516,10
819,525,10
525,644,10
525,819,10
6792,527,10
7400,532,10
776,533,10
533,776,10
726,538,10
852,539,10
600,554,10
554,600,10
584,569,10
569,584,10
579,576,9
576,579,10
614,577,10
577,614,10
1691,582,10
628,583,10
6878,590,10
590,6878,10
880,595,9
595,880,9
834,604,10
604,834,10
7569,606,10
723,618,10
618,723,10
789,628,10
628,789,10
2908,631,10
2913,636,10
3170,648,10
749,656,10
656,749,9
663,820,10
948,685,8
685,948,8
1026,688,10
1367,691,10
2225,692,10
692,2225,10
833,709,10
709,833,10
1638,719,8
790,726,10
726,790,10
726,7564,10
7328,731,10
731,7328,10
755,754,10
754,755,10
978,760,10
760,978,8
781,928,8
2529,795,10
5533,811,10
811,5533,10
3179,836,10
7335,838,10
1256,873,9
3419,905,10
2336,907,9
7562,941,8
1062,7514,10
1455,7564,8
1681,7564,9
7598,1691,10
7398,2408,10
7561,3774,8
7455,4910,10
7517,5533,10
7536,5533,10
7565,5533,10
5533,7565,10
7602,7334,10
7601,7334,10
7599,7334,10
7598,7334,10
7604,7334,10
7334,7604,10
7335,7560,10
7520,7395,10
7513,7417,9
7417,7506,9
7535,7483,10
7513,7506,8
7535,7513,8
7536,7517,10
7565,7517,9
7517,7565,10
7517,7536,10
7531,7521,10
7530,7581,10
7565,7536,10
7536,7565,10
7540,7556,8
7602,7598,10
7601,7598,10
7599,7598,10
7604,7598,10
7598,7599,10
7598,7600,10
7598,7604,10
7602,7599,10
7601,7599,10
7604,7599,10
7599,7600,10
7602,7600,10
7601,7600,10
7604,7600,10
7602,7601,10
7604,7601,10
7601,7604,10
7604,7602,10
7602,7604,10
