Id,Label,Modularity Class
1,1,3.971465601959705e-05
2,2,0.00021287424531895864
3,3,3.193086673778434e-05
4,4,6.980087421048132e-05
5,5,7.521973928854213e-05
6,6,6.536701867632211e-05
7,7,2.070690122510122e-05
8,8,3.4657825837198e-05
9,9,4.0637090407284846e-05
10,10,1.2821603563792937e-05
11,11,3.4220265037559304e-05
12,12,8.340643243991674e-06
13,13,2.6509807434914427e-05
14,14,3.3277221053881756e-05
15,15,6.749118060660706e-06
16,16,0.00015160326904889028
17,17,4.151412372431293e-06
18,18,3.573715086247448e-05
19,19,6.260944125902065e-05
20,20,5.4863619923828816e-05
21,21,1.9904093579174765e-05
22,22,1.1994051728436785e-05
23,23,2.4928609426487152e-05
24,24,2.487894138656503e-06
25,25,1.6979082864716006e-05
26,26,1.1190855156494492e-05
27,27,4.0211859357013594e-05
28,28,6.254061676497311e-05
29,29,5.120838726754429e-06
30,30,3.2682606860345264e-06
31,31,3.938722914897563e-05
32,32,1.1173060818036249e-05
33,33,4.6371119915344016e-06
34,34,4.1120471442022816e-05
35,35,5.7378222031290655e-06
36,36,1.4051021317391935e-05
37,37,4.389557122847815e-05
38,38,5.524153361627911e-05
39,39,1.928213257612849e-05
40,40,2.3120530493834403e-05
41,41,7.756922039259425e-06
42,42,2.487894138656503e-06
43,43,7.745429025615796e-06
44,44,1.2870315426169352e-05
45,45,2.5632093752445854e-05
46,46,2.7332558999784533e-05
47,47,1.600177974246056e-05
48,48,2.487894138656503e-06
49,49,4.39928373527715e-05
50,50,4.828993780790573e-06
51,51,2.487894138656503e-06
52,52,2.1848904274929454e-05
53,53,5.975936463697667e-06
54,54,4.458318488354905e-05
55,55,5.903259827225297e-05
56,56,5.604479748096167e-05
57,57,1.2364479698074717e-05
59,59,6.9782116336684705e-06
60,60,1.17142355346171e-05
61,61,1.4344872972012674e-05
62,62,1.2024888466188941e-05
63,63,2.2743526913738064e-05
65,65,8.227733763601116e-06
66,66,8.403429956370068e-06
67,67,2.019137378737137e-05
68,68,3.3971036977789324e-05
69,69,4.828993780790571e-06
71,71,8.046232773774417e-05
72,72,4.182511642860207e-05
73,73,3.88379791037184e-06
74,74,1.9984153321074536e-05
76,76,1.302284252825981e-05
80,80,3.349154959036761e-05
81,81,3.6584439597235376e-06
82,82,7.95882224801358e-06
84,84,6.8515854958538534e-06
86,86,3.3967225609949974e-06
88,88,8.324611233619203e-05
89,89,9.373785232321087e-06
91,91,4.5258552340735276e-05
92,92,1.2506789294381885e-05
93,93,8.700187462696658e-06
94,94,1.4841026422550482e-05
95,95,3.102983565053877e-06
96,96,3.592352451085758e-06
97,97,5.665129577848138e-06
99,99,3.06900947185935e-06
100,100,6.851585495853853e-06
101,101,3.06900947185935e-06
102,102,7.17009342292464e-06
103,103,2.487894138656503e-06
104,104,4.828993780790572e-06
107,107,2.487894138656503e-06
108,108,8.536641849741014e-06
109,109,0.00014302472478710192
110,110,4.828993780790572e-06
111,111,9.917848972149248e-06
112,112,6.851585495853851e-06
113,113,2.0705493934023872e-05
114,114,2.487894138656503e-06
118,118,5.793746506135923e-06
119,119,1.4845498295955135e-05
120,120,2.3207706039024198e-05
122,122,6.067242874598733e-06
123,123,4.828993780790571e-06
124,124,5.9333202695352005e-06
127,127,2.1587519567891767e-05
128,128,5.617722605879513e-06
129,129,2.5958686498841255e-05
130,130,2.487894138656503e-06
131,131,2.487894138656503e-06
132,132,2.311762003699846e-05
134,134,9.70289999400867e-06
137,137,5.999543601857607e-06
138,138,2.3010747121943944e-05
139,139,7.170093422924641e-06
141,141,4.828993780790571e-06
142,142,2.487894138656503e-06
143,143,9.373135892483034e-06
145,145,1.5917664142900547e-05
147,147,1.2003616029059508e-05
148,148,2.487894138656503e-06
149,149,4.828993780790572e-06
150,150,4.1825116428602064e-05
151,151,6.556025796526017e-05
156,156,2.487894138656503e-06
157,157,3.06900947185935e-06
158,158,9.97752879800837e-06
159,159,1.2368902449068606e-05
160,160,4.757030130685428e-05
163,163,2.487894138656503e-06
164,164,2.487894138656503e-06
165,165,4.828993780790572e-06
166,166,3.06900947185935e-06
168,168,2.0705493934023872e-05
170,170,1.607124318444524e-05
171,171,4.828993780790572e-06
172,172,2.487894138656503e-06
173,173,4.828993780790572e-06
174,174,2.487894138656503e-06
176,176,7.953421325419731e-06
177,177,1.8305991722585023e-05
179,179,4.828993780790571e-06
180,180,4.769314264040992e-06
181,181,4.828993780790571e-06
183,183,1.0529215784035285e-05
185,185,3.585225278398555e-05
186,186,4.76931426404099e-06
187,187,3.06900947185935e-06
188,188,3.490333624920499e-05
190,190,3.06900947185935e-06
191,191,2.487894138656503e-06
193,193,4.182511642860205e-05
194,194,2.1442562830977373e-05
195,195,3.8818842587917874e-05
200,200,3.060326822915214e-05
201,201,4.182511642860207e-05
204,204,1.7894382134931363e-05
206,206,4.1825116428602016e-05
210,210,4.6371119915344016e-06
212,212,4.828993780790572e-06
213,213,4.8828674598142336e-05
215,215,8.667153152624121e-06
218,218,3.321092000502592e-05
220,220,4.828993780790572e-06
221,221,5.520286261038051e-05
223,223,4.7471440141149886e-06
224,224,2.2630324465172566e-05
227,227,2.487894138656503e-06
228,228,3.88379791037184e-06
229,229,7.0320362503489655e-06
230,230,4.013889289045218e-06
231,231,1.3375251809143696e-05
232,232,6.566154180639834e-06
233,233,2.487894138656503e-06
234,234,1.559039992161549e-05
235,235,5.282309287634154e-06
238,238,4.182511642860212e-05
239,239,4.182511642860204e-05
240,240,3.375054719696624e-05
243,243,3.47991494698318e-05
244,244,2.487894138656503e-06
246,246,1.5646668727448663e-05
247,247,4.828993780790573e-06
248,248,5.617722605879513e-06
249,249,2.487894138656503e-06
250,250,2.487894138656503e-06
253,253,6.851585495853851e-06
254,254,2.193691973494965e-05
257,257,1.5110425575810697e-05
261,261,4.3622756400436864e-05
262,262,4.1825116428602e-05
263,263,4.637111991534401e-06
264,264,1.3013137090566071e-05
265,265,7.814984360473919e-06
266,266,2.487894138656503e-06
267,267,4.828993780790571e-06
269,269,2.487894138656503e-06
270,270,3.073169049190021e-06
271,271,7.696791930496946e-06
272,272,4.151412372431293e-06
